Chr	Start	End	ENSGID	Gene	HI	TS	GHIS	Episcores	LOEUF	pLI	Morbid_gene	OMIM_gene	Zscore_gene
chr1	41445007	41478235	ENSG00000171793	CTPS1	NA	NA	0.662246135	0.4815	0.29	0.99	1	1	3.69
chr1	41481269	41488909	ENSG00000171790	SLFNL1	NA	NA	0.396384891	0.01435	1.08	0.00	0	0	-0.60
chr1	41492872	41707826	ENSG00000010803	SCMH1	NA	NA	0.56287105	0.355116667	0.68	0.00	0	1	1.95
chr1	41827594	41849262	ENSG00000204060	FOXO6	NA	NA	0.523892545	0.519233333	0.67	0.41	0	0	1.32
chr1	41944446	41950344	ENSG00000127129	EDN2	NA	NA	0.450542947	0.1618	1.02	0.06	0	1	0.13
chr1	41972036	42501596	ENSG00000127124	HIVEP3	1	0	0.468228898	0.4722	0.31	0.91	0	1	1.17
chr1	42619092	42621495	ENSG00000044012	GUCA2B	NA	NA	NA	0.22305	0.98	0.38	0	1	0.32
chr1	42628362	42630389	ENSG00000197273	GUCA2A	NA	NA	NA	0.080833333	1.21	0.29	0	1	-1.07
chr1	42642210	42801548	ENSG00000198815	FOXJ3	NA	NA	0.527484389	0.523	0.27	1.00	0	1	1.31
chr1	42846466	42888249	ENSG00000177181	RIMKLA	NA	NA	0.569712867	0.327533333	1.01	0.00	0	1	1.22
chr1	42896000	42921938	ENSG00000066185	ZMYND12	NA	NA	0.40417885	0.270983333	0.91	0.00	0	0	0.71
chr1	42921788	42939056	ENSG00000127125	PPCS	NA	NA	0.405352114	0.2907	0.97	0.01	0	1	0.80
chr1	42929001	43120335	ENSG00000186409	CCDC30	NA	NA	0.459922817	0.292166667	0.93	0.00	0	0	0.91
chr1	43124096	43142429	ENSG00000171960	PPIH	NA	NA	0.686423053	0.252266667	1.19	0.00	0	1	1.67
chr1	43148098	43168020	ENSG00000065978	YBX1	NA	NA	0.4847252	0.889	0.35	0.95	0	1	1.72
chr1	43198764	43205925	ENSG00000164007	CLDN19	NA	NA	0.49630307	0.1316	1.08	0.00	1	1	0.78
chr1	43212006	43232755	ENSG00000117385	LEPRE1	30	0	0.516038353	0.670433333	1.23	0.00	1	1	0.75
chr1	43232940	43263968	ENSG00000164008	C1orf50	NA	NA	0.46880308	0.6364	0.94	0.03	0	0	-0.30
chr1	43272723	43282954	ENSG00000177868	CCDC23	NA	NA	0.543093263	0.20395	1.88	0.00	0	1	0.37
chr1	43282795	43310660	ENSG00000164010	ERMAP	NA	NA	0.430855688	0.2149	1.17	0.00	1	1	0.71
chr1	43312280	43318148	ENSG00000164011	ZNF691	NA	NA	0.587933776	0.258616667	0.47	0.82	0	0	0.53
chr1	43391052	43424530	ENSG00000117394	SLC2A1	3	0	0.588489583	0.839133333	0.24	0.99	1	1	2.93
chr1	43610824	43622067	ENSG00000186973	FAM183A	NA	NA	0.420728376	0.325216667	1.15	0.04	0	0	0.05
chr1	43629846	43736607	ENSG00000117395	EBNA1BP2	NA	NA	0.504565497	0.20135	1.09	0.00	0	1	0.27
chr1	43637820	43720029	ENSG00000243710	WDR65	NA	NA	0.454003098	0.19075	1.11	0.00	0	1	0.45
chr1	43735665	43739673	ENSG00000179178	TMEM125	NA	NA	0.408099648	0.10455	1.97	0.00	0	0	0.54
chr1	43747554	43751288	ENSG00000253313	C1orf210	NA	NA	0.402282827	0.182266667	1.91	0.00	0	0	0.06
chr1	43766664	43788779	ENSG00000066056	TIE1	NA	NA	0.604812516	0.245666667	0.89	0.00	0	1	1.51
chr1	43803478	43818443	ENSG00000117400	MPL	NA	NA	0.466009778	0.0303	0.76	0.00	1	1	0.39
chr1	43824626	43828874	ENSG00000117399	CDC20	NA	NA	0.697629659	0.268666667	0.84	0.00	0	1	1.83
chr1	43829068	43833696	ENSG00000066322	ELOVL1	NA	NA	0.545036989	0.198016667	0.46	0.68	0	1	1.81
chr1	43849588	43855479	ENSG00000159479	MED8	NA	NA	0.566299267	0.234433333	1.10	0.00	0	1	0.97
chr1	43855553	43918321	ENSG00000198198	SZT2	NA	NA	0.571739973	0.227466667	0.41	0.00	1	1	2.60
chr1	43913447	43914315	ENSG00000229372	SZT2-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	43916824	43919660	ENSG00000178922	HYI	NA	NA	0.37987835	0.15115	1.74	0.00	0	1	-0.91
chr1	43919598	43922666	ENSG00000229348	HYI-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	43990858	44089343	ENSG00000142949	PTPRF	NA	NA	0.574553354	0.422866667	0.19	1.00	1	1	2.80
chr1	44115829	44171186	ENSG00000066135	KDM4A	NA	NA	0.519526183	0.59925	0.16	1.00	0	1	3.68
chr1	44165436	44173809	ENSG00000236200	KDM4A-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	44171495	44396831	ENSG00000126091	ST3GAL3	NA	NA	0.667274781	0.224033333	0.62	0.00	1	1	1.50
chr1	44398992	44402913	ENSG00000117407	ARTN	3	0	NA	0.1881	1.02	0.36	1	1	1.22
chr1	44412611	44433694	ENSG00000117408	IPO13	NA	NA	0.610041669	0.264833333	0.20	1.00	0	1	3.49
chr1	44435672	44439041	ENSG00000132768	DPH2	NA	NA	0.484730838	0.085683333	0.95	0.00	0	1	0.76
chr1	44440159	44443967	ENSG00000117410	ATP6V0B	NA	NA	0.572328423	0.3011	0.28	0.97	0	1	1.81
chr1	44444615	44456840	ENSG00000117411	B4GALT2	NA	NA	0.505806354	0.3168	0.59	0.20	0	1	1.88
chr1	44457031	44462200	ENSG00000159214	CCDC24	NA	NA	0.481857571	0.089333333	1.46	0.00	0	0	-0.68
chr1	44457172	44497139	ENSG00000196517	SLC6A9	NA	NA	0.530699699	0.30205	0.63	0.00	1	1	1.98
chr1	44584522	44600812	ENSG00000171872	KLF17	NA	NA	0.37748655	0.082216667	1.36	0.00	0	1	-0.12
chr1	44679127	44686353	ENSG00000178028	DMAP1	NA	NA	0.619533868	0.171183333	0.55	0.04	0	1	2.29
chr1	44686742	44820932	ENSG00000117419	ERI3	NA	NA	0.646635322	0.273983333	0.74	0.00	0	1	2.20
chr1	44709080	44709945	ENSG00000233602	ERI3-IT1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	44870866	45117396	ENSG00000187147	RNF220	NA	NA	0.597536496	0.883816667	0.20	1.00	0	1	2.22
chr1	45100910	45140227	ENSG00000126106	TMEM53	NA	NA	0.461287743	0.21745	1.00	0.02	0	1	1.01
chr1	45140364	45191263	ENSG00000198520	C1orf228	NA	NA	NA	0.238516667	0.88	0.00	0	0	1.52
chr1	45205490	45233439	ENSG00000142945	KIF2C	NA	NA	0.584919337	0.142483333	0.55	0.00	0	1	1.39
chr1	45240923	45244451	ENSG00000142937	RPS8	NA	NA	0.600798596	0.48045	0.22	0.99	0	1	2.42
chr1	45249257	45253377	ENSG00000142959	BEST4	NA	NA	0.453290494	0.1135	0.89	0.00	0	1	2.01
chr1	45265897	45271662	ENSG00000173846	PLK3	NA	NA	0.563495156	0.30015	0.71	0.00	0	1	1.24
chr1	45271585	45272957	ENSG00000188396	TCTEX1D4	NA	NA	0.39091206	0.28495	1.71	0.01	0	1	0.79
chr1	45274154	45281257	ENSG00000222009	BTBD19	NA	NA	0.476002319	0.26825	0.67	0.05	0	0	1.78
chr1	45285516	45308735	ENSG00000117425	PTCH2	NA	NA	0.547440881	0.043916667	0.85	0.00	1	1	0.78
chr1	45316450	45452282	ENSG00000070785	EIF2B3	30	0	0.572148674	0.085933333	0.43	0.57	1	1	1.04
chr1	45468212	45477001	ENSG00000126107	HECTD3	NA	NA	0.552293	0.44375	0.40	0.09	0	1	2.15
chr1	45477819	45481247	ENSG00000126088	UROD	NA	NA	0.49640961	0.433	1.12	0.00	1	1	1.11
chr1	45482071	45771881	ENSG00000162415	ZSWIM5	NA	NA	0.562800045	0.541866667	0.40	0.04	0	0	2.32
chr1	45792545	45794347	ENSG00000186603	HPDL	NA	NA	0.541297464	0.169533333	1.43	0.00	0	1	0.93
chr1	45794835	45806142	ENSG00000132781	MUTYH	30	0	0.516920895	0.1695	1.19	0.00	1	1	-0.21
chr1	45805342	45809647	ENSG00000132773	TOE1	NA	NA	0.567330623	0.164183333	1.46	0.00	1	1	1.07
chr1	45809555	45956872	ENSG00000070759	TESK2	NA	NA	0.473198046	0.23405	0.81	0.00	0	1	0.49
chr1	45959538	45965751	ENSG00000236624	CCDC163P	NA	NA	0.489131631	0.172366667	0.90	0.42	0	0	0.12
chr1	45965725	45976739	ENSG00000132763	MMACHC	30	NA	0.510857219	0.18425	1.75	0.00	1	1	-1.08
chr1	45976708	45988719	ENSG00000117450	PRDX1	NA	NA	0.62049498	0.554316667	1.91	0.00	0	1	0.20
chr1	46016215	46035721	ENSG00000117448	AKR1A1	NA	NA	0.478450533	0.177666667	1.12	0.00	0	1	-0.02
chr1	46049518	46084566	ENSG00000132780	NASP	NA	NA	0.597375747	0.619683333	0.28	1.00	0	1	0.61
chr1	46085716	46089729	ENSG00000159588	CCDC17	NA	NA	NA	0.083766667	1.41	0.00	0	0	1.14
chr1	46092976	46153785	ENSG00000159592	GPBP1L1	NA	NA	0.636859314	0.894116667	0.49	0.20	0	0	-0.13
chr1	46152886	46160115	ENSG00000159596	TMEM69	NA	NA	0.629588781	0.83195	1.63	0.00	0	0	0.20
chr1	46159996	46216322	ENSG00000197429	IPP	NA	NA	0.58643693	0.2574	0.69	0.00	0	1	0.50
chr1	46252659	46501796	ENSG00000086015	MAST2	NA	NA	0.590912046	0.318666667	0.71	0.00	0	1	2.04
chr1	46505812	46642160	ENSG00000117461	PIK3R3	NA	NA	0.523534761	0.708516667	1.00	0.00	0	1	0.04
chr1	46640745	46651630	ENSG00000117472	TSPAN1	NA	NA	0.385316	0.123916667	1.37	0.00	0	1	0.54
chr1	46654354	46685977	ENSG00000085998	POMGNT1	NA	NA	0.55098211	0.184883333	1.04	0.00	1	1	0.90
chr1	46669006	46686933	ENSG00000171357	LURAP1	NA	NA	0.493365398	0.173783333	1.18	0.01	0	1	0.34
chr1	46713360	46744145	ENSG00000085999	RAD54L	NA	NA	0.640439601	0.211633333	0.97	0.00	1	1	-0.25
chr1	46726868	46769280	ENSG00000132128	LRRC41	NA	NA	0.547676801	0.814583333	0.18	1.00	0	1	3.08
chr1	46769303	46782448	ENSG00000173660	UQCRH	NA	NA	0.51841094	0.653633333	1.35	0.00	0	1	0.17
chr1	46805849	46830824	ENSG00000117481	NSUN4	NA	NA	0.486700121	0.2025	0.91	0.00	0	1	0.83
chr1	46859937	46879520	ENSG00000117480	FAAH	30	NA	0.552537649	0.121416667	0.56	0.15	1	1	0.46
chr1	46972668	46979898	ENSG00000197587	DMBX1	NA	NA	0.396737392	0.396983333	0.37	0.93	0	1	0.83
chr1	47004368	47035927	ENSG00000269956	MKNK1-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	47011316	47017199	ENSG00000162456	KNCN	NA	NA	NA	0.187566667	1.96	0.00	0	1	-0.37
chr1	47023090	47082515	ENSG00000079277	MKNK1	NA	NA	0.466047717	0.260316667	1.03	0.00	0	1	1.44
chr1	47073387	47082563	ENSG00000142961	MOB3C	NA	NA	0.4217369	0.24795	1.21	0.00	0	0	0.64
chr1	47098409	47139539	ENSG00000123472	ATPAF1	NA	NA	0.624425596	0.218416667	0.72	0.01	0	1	1.18
chr1	47124366	47184824	ENSG00000159658	EFCAB14	NA	NA	0.627837152	0.326233333	0.95	0.00	0	1	0.39
chr1	47134527	47139266	ENSG00000186118	TEX38	NA	NA	NA	0.203216667	1.89	0.00	0	0	0.82
chr1	47139708	47157770	ENSG00000228237	EFCAB14-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	47223510	47285085	ENSG00000142973	CYP4B1	NA	NA	0.404357533	0.100333333	1.10	0.00	0	1	-0.21
chr1	47394849	47407156	ENSG00000187048	CYP4A11	NA	NA	0.41075591	0.010483333	1.64	0.00	0	1	-1.12
chr1	47427036	47516423	ENSG00000186377	CYP4X1	NA	NA	0.514722745	0.353983333	1.11	0.00	0	1	1.29
chr1	47533160	47583991	ENSG00000186160	CYP4Z1	NA	NA	0.394204225	0.061466667	1.46	0.00	0	1	0.11
chr1	47603107	47615413	ENSG00000162365	CYP4A22	NA	NA	NA	0.01035	1.87	0.00	0	1	-1.17
chr1	47644922	47646011	ENSG00000224805	LINC00853	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	47649265	47656716	ENSG00000162366	PDZK1IP1	NA	NA	0.464724022	0.229283333	1.60	0.00	0	1	0.42
chr1	47681962	47697892	ENSG00000162367	TAL1	NA	NA	0.612064223	0.7862	0.70	0.57	1	1	0.98
chr1	47715811	47779819	ENSG00000123473	STIL	30	NA	0.587745585	0.282716667	0.38	0.20	1	1	1.13
chr1	47799469	47844511	ENSG00000162368	CMPK1	NA	NA	0.416383269	0.3595	0.45	0.85	0	1	1.93
chr1	47881744	47883723	ENSG00000186790	FOXE3	0	0	0.46570626	0.797233333	1.61	0.18	1	1	0.57
chr1	47897805	47900313	ENSG00000237424	FOXD2-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	47901689	47906363	ENSG00000186564	FOXD2	NA	NA	0.408158269	0.67485	1.31	0.03	0	1	1.00
chr1	48226200	48462567	ENSG00000269113	TRABD2B	NA	NA	0.456673981	0.638866667	0.42	0.84	0	1	2.99
chr1	48688357	48714316	ENSG00000117834	SLC5A9	NA	NA	0.405899157	0.090516667	1.36	0.00	0	0	0.80
chr1	48761044	48937845	ENSG00000132122	SPATA6	NA	NA	0.515631343	0.450983333	1.47	0.00	0	1	0.20
chr1	48998527	50489585	ENSG00000186094	AGBL4	NA	NA	NA	0.342183333	0.76	0.00	0	1	1.32
chr1	49193195	49242641	ENSG00000162373	BEND5	NA	NA	0.53888243	0.45765	0.66	0.05	0	0	1.70
chr1	49839873	49937757	ENSG00000225623	AGBL4-IT1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	50513686	50669458	ENSG00000162374	ELAVL4	NA	NA	0.62014791	0.829266667	0.38	0.91	1	1	2.85
chr1	50883222	50889172	ENSG00000142700	DMRTA2	NA	NA	0.425126233	0.891833333	0.38	0.92	0	1	1.40
chr1	50905150	51425935	ENSG00000185104	FAF1	NA	NA	0.620604668	0.349933333	0.25	1.00	0	1	2.13
chr1	51426417	51440305	ENSG00000123080	CDKN2C	NA	NA	0.524633353	0.855016667	0.95	0.40	0	1	1.08
chr1	51567906	51613752	ENSG00000204006	C1orf185	NA	NA	NA	0.143816667	1.81	0.00	0	0	1.09
chr1	51701943	51739127	ENSG00000123091	RNF11	NA	NA	0.647067853	0.702783333	0.69	0.58	0	1	1.48
chr1	51752930	51810788	ENSG00000085831	TTC39A	NA	NA	0.554012689	0.306766667	0.56	0.00	0	1	2.28
chr1	51819935	51985000	ENSG00000085832	EPS15	NA	NA	0.549294778	0.676816667	0.46	0.00	0	1	0.78
chr1	52042851	52254889	ENSG00000117859	OSBPL9	NA	NA	0.54437585	0.676233333	0.31	0.98	0	1	2.66
chr1	52254863	52344477	ENSG00000078618	NRD1	NA	NA	0.550072826	0.820083333	0.37	0.04	0	1	2.56
chr1	52373628	52456436	ENSG00000169213	RAB3B	NA	NA	0.53359674	0.361933333	0.75	0.31	0	1	0.94
chr1	52485803	52521843	ENSG00000117862	TXNDC12	NA	NA	0.398057917	0.802816667	1.33	0.00	0	1	0.52
chr1	52497775	52499488	ENSG00000198841	KTI12	NA	NA	0.570437596	0.270816667	1.42	0.00	0	0	-0.50
chr1	52516590	52518355	ENSG00000228369	TXNDC12-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	52521797	52556388	ENSG00000134717	BTF3L4	NA	NA	0.675117438	0.807733333	0.70	0.57	0	0	1.86
chr1	52608046	52812358	ENSG00000157077	ZFYVE9	NA	NA	0.511735265	0.528566667	0.33	0.90	0	1	1.80
chr1	52811395	52831865	ENSG00000154222	CC2D1B	NA	NA	0.489652715	0.38555	0.92	0.00	0	0	-1.01
chr1	52838501	52870131	ENSG00000085840	ORC1	NA	NA	0.601868198	0.562533333	1.38	0.00	1	1	0.10
chr1	52870236	52886511	ENSG00000134748	PRPF38A	NA	NA	0.701596767	0.563066667	0.41	0.77	0	1	2.11
chr1	52873954	53019159	ENSG00000134744	ZCCHC11	NA	NA	0.591565607	0.8061	0.11	1.00	0	1	2.76
chr1	53068044	53074723	ENSG00000116157	GPX7	NA	NA	0.543174901	0.235316667	1.41	0.00	0	1	0.18
chr1	53099016	53135355	ENSG00000182183	FAM159A	NA	NA	0.521006387	0.170433333	1.86	0.00	0	0	-0.28
chr1	53152508	53164038	ENSG00000162377	COA7	NA	NA	0.483811209	0.192766667	1.02	0.06	1	1	0.67
chr1	53192126	53293014	ENSG00000162378	ZYG11B	NA	NA	0.661895277	0.359716667	0.25	1.00	0	1	3.98
chr1	53308183	53360670	ENSG00000203995	ZYG11A	NA	NA	0.384028678	0.232833333	0.98	0.00	0	1	1.22
chr1	53361656	53392884	ENSG00000121310	ECHDC2	NA	NA	0.499924965	0.303166667	1.25	0.00	0	0	0.09
chr1	53392901	53517375	ENSG00000116171	SCP2	NA	NA	0.559848354	0.327666667	0.18	1.00	1	1	0.26
chr1	53527854	53551174	ENSG00000174348	PODN	NA	NA	0.508217127	0.09715	1.02	0.00	0	1	0.78
chr1	53552855	53608289	ENSG00000162383	SLC1A7	NA	NA	0.532821797	0.1795	1.31	0.00	0	1	0.07
chr1	53662101	53679869	ENSG00000157184	CPT2	NA	NA	0.453479022	0.2404	1.17	0.00	1	1	0.40
chr1	53679771	53686289	ENSG00000162384	C1orf123	NA	NA	0.514333955	0.15625	1.43	0.00	0	0	0.06
chr1	53692564	53704282	ENSG00000162385	MAGOH	NA	NA	0.703133428	0.102266667	0.49	0.80	0	1	2.57
chr1	53711217	53793742	ENSG00000157193	LRP8	NA	NA	0.529272547	0.488866667	0.22	1.00	1	1	2.52
chr1	53925072	53933161	ENSG00000143006	DMRTB1	NA	NA	0.408458897	0.111166667	0.47	0.83	0	1	1.06
chr1	53971910	54199877	ENSG00000174332	GLIS1	NA	NA	NA	0.660316667	0.61	0.04	0	1	0.04
chr1	54231133	54304533	ENSG00000058804	NDC1	NA	NA	0.649218583	0.280216667	0.24	1.00	0	1	1.09
chr1	54317392	54356407	ENSG00000058799	YIPF1	NA	NA	0.532754468	0.1872	0.77	0.00	0	1	-0.14
chr1	54356912	54376759	ENSG00000211452	DIO1	NA	NA	0.564282213	0.194783333	0.19	1.00	0	1	1.10
chr1	54382247	54411602	ENSG00000081870	HSPB11	NA	NA	0.587561303	0.644183333	1.35	0.00	0	0	0.56
chr1	54411750	54433841	ENSG00000116212	LRRC42	NA	NA	0.566303276	0.6574	1.12	0.00	0	0	-0.22
chr1	54474412	54483856	ENSG00000203985	LDLRAD1	NA	NA	NA	0.19265	1.43	0.00	0	0	0.28
chr1	54497347	54519177	ENSG00000116209	TMEM59	NA	NA	0.552438734	0.558783333	1.47	0.00	0	1	0.44
chr1	54519260	54578192	ENSG00000116205	TCEANC2	NA	NA	0.480565955	0.5384	1.67	0.00	0	0	0.29
chr1	54598747	54619443	ENSG00000157211	CDCP2	NA	NA	0.379913533	0.04365	1.79	0.00	0	1	0.02
chr1	54638009	54665709	ENSG00000215883	CYB5RL	NA	NA	NA	0.23735	1.07	0.00	0	0	-0.23
chr1	54649714	54691137	ENSG00000116221	MRPL37	NA	NA	0.550960654	0.237966667	1.12	0.00	0	1	0.50
chr1	54691105	54879152	ENSG00000157216	SSBP3	NA	NA	0.591065317	0.79245	0.20	1.00	0	1	2.75
chr1	54703710	54704736	ENSG00000198711	SSBP3-AS1	NA	NA	0.394797891	0.00895	NA	NA	0	0	0.32
chr1	55007930	55104865	ENSG00000162390	ACOT11	NA	NA	0.505738348	0.126483333	1.08	0.00	0	1	0.54
chr1	55074855	55089229	ENSG00000162391	FAM151A	NA	NA	0.392120931	0.053483333	1.50	0.00	0	0	-0.19
chr1	55107459	55207981	ENSG00000271723	MROH7-TTC4	NA	NA	NA	0.061783333	0.98	0.00	0	0	-0.08
chr1	55107463	55175939	ENSG00000184313	MROH7	NA	NA	0.437185099	0.061783333	0.98	0.00	0	0	-0.08
chr1	55181495	55208330	ENSG00000243725	TTC4	NA	NA	0.471735477	0.245116667	0.90	0.00	0	1	0.25
chr1	55222571	55230187	ENSG00000162396	PARS2	NA	NA	0.544979493	0.38255	0.88	0.00	0	1	0.29
chr1	55245385	55266940	ENSG00000006555	TTC22	NA	NA	0.425338347	0.21905	1.01	0.00	0	0	1.10
chr1	55271736	55307925	ENSG00000162398	C1orf177	NA	NA	NA	0.2033	1.28	0.00	0	1	0.20
chr1	55315306	55352891	ENSG00000116133	DHCR24	NA	NA	0.531848482	0.4909	0.52	0.03	1	1	1.50
chr1	55446465	55457966	ENSG00000143001	TMEM61	NA	NA	0.444546608	0.30945	1.84	0.00	0	0	0.19
chr1	55464606	55476556	ENSG00000162399	BSND	30	0	0.466945083	0.226716667	1.78	0.00	1	1	0.07
chr1	55505221	55530525	ENSG00000169174	PCSK9	40	0	0.374373217	0.409733333	1.34	0.00	1	1	0.27
chr1	55532032	55680786	ENSG00000162402	USP24	NA	NA	0.628376805	0.888716667	0.15	1.00	0	1	4.99
chr1	56960419	57110974	ENSG00000162407	PPAP2B	NA	NA	0.585055864	0.8126	0.38	0.92	0	1	1.43
chr1	57110995	57181008	ENSG00000162409	PRKAA2	NA	NA	0.628013011	0.215483333	0.92	0.00	0	1	1.99
chr1	57184477	57285369	ENSG00000187889	C1orf168	NA	NA	0.382924254	0.225733333	1.70	0.00	0	1	-0.33
chr1	57320479	57383894	ENSG00000157131	C8A	NA	NA	NA	0.087616667	1.18	0.00	1	1	-1.07
chr1	57394883	57431813	ENSG00000021852	C8B	NA	NA	NA	0.1745	1.33	0.00	1	1	-0.74
chr1	57460451	59012406	ENSG00000173406	DAB1	NA	NA	0.540625313	0.833616667	0.99	0.00	1	1	0.41
chr1	58326204	58346577	ENSG00000226759	DAB1-AS1	NA	NA	NA	NA	NA	NA	0	0	NA
chr1	58881056	59012474	ENSG00000162600	OMA1	NA	NA	0.411068595	0.359366667	1.13	0.00	1	1	0.49
chr1	59041099	59043166	ENSG00000184292	TACSTD2	30	0	0.442847949	0.5426	1.53	0.00	1	1	0.56
chr1	59120411	59165764	ENSG00000162601	MYSM1	NA	NA	0.573796544	0.3076	0.41	0.04	0	1	1.22
chr1	59246465	59249785	ENSG00000177606	JUN	NA	NA	0.589307386	0.87185	1.02	0.06	0	1	1.19
chr1	59762310	60233347	ENSG00000172456	FGGY	NA	NA	0.45415568	0.330283333	1.22	0.00	0	1	-0.12
chr1	60280458	60342050	ENSG00000134709	HOOK1	NA	NA	0.538653919	0.444683333	0.62	0.00	1	1	0.85
chr1	60358980	60392462	ENSG00000134716	CYP2J2	NA	NA	0.475295045	0.3795	1.39	0.00	0	1	0.14
chr1	60452941	60539442	ENSG00000162598	C1orf87	NA	NA	NA	0.170533333	1.68	0.00	0	1	-0.21
chr1	61330931	61928465	ENSG00000162599	NFIA	3	0	0.61353228	0.9193	0.20	1.00	1	1	3.23
chr1	62146718	62191095	ENSG00000162604	TM2D1	NA	NA	0.420271578	0.240583333	1.11	0.00	0	1	0.13
chr1	62208149	62629592	ENSG00000132849	INADL	NA	NA	0.466257927	0.381183333	1.04	0.00	0	1	1.25
chr1	62660503	62678000	ENSG00000240563	L1TD1	NA	NA	0.41893975	0.3146	1.33	0.00	0	0	-0.89
chr1	62702651	62785085	ENSG00000132854	KANK4	NA	NA	0.428185124	0.338	0.80	0.00	0	1	0.20
chr1	62901968	62917475	ENSG00000162607	USP1	NA	NA	0.670104522	0.805783333	0.26	1.00	0	1	1.06
chr1	62920399	63153969	ENSG00000116641	DOCK7	30	0	0.600659517	0.667366667	0.38	0.00	1	1	3.42
chr1	63063158	63071830	ENSG00000132855	ANGPTL3	30	NA	0.396603252	0.018466667	1.30	0.00	1	1	-0.09
chr1	63249806	63331184	ENSG00000125703	ATG4C	NA	NA	0.532608623	0.3941	1.41	0.00	0	1	-0.44
chr1	63788730	63790797	ENSG00000187140	FOXD3	NA	NA	0.546191141	0.893216667	0.69	0.58	1	1	0.95
chr1	63833261	63904233	ENSG00000088035	ALG6	30	NA	0.485525001	0.429316667	0.64	0.00	1	1	1.53
chr1	63906441	64059392	ENSG00000142856	ITGB3BP	NA	NA	0.658480129	0.45705	1.41	0.00	0	1	0.49
chr1	63989043	64038364	ENSG00000203965	EFCAB7	NA	NA	0.402064924	0.43715	1.19	0.00	0	1	1.03
chr1	64014588	64015405	ENSG00000116652	DLEU2L	NA	NA	0.376395733	0.017516667	1.76	0.37	0	0	0.25
chr1	64058947	64125916	ENSG00000079739	PGM1	30	NA	0.514510038	0.299683333	1.32	0.00	1	1	-0.23
chr1	64239693	64647181	ENSG00000185483	ROR1	0	0	0.600757879	0.760133333	0.40	0.40	1	1	2.58
chr1	64669310	64733051	ENSG00000177414	UBE2U	NA	NA	NA	0.069816667	1.32	0.00	0	0	0.31
chr1	64936428	65158741	ENSG00000158966	CACHD1	NA	NA	0.590420486	0.78415	0.57	0.00	0	0	1.71
chr1	65210778	65298915	ENSG00000162437	RAVER2	NA	NA	0.482294287	0.42795	0.81	0.00	0	1	0.72
chr1	65298912	65432187	ENSG00000162434	JAK1	NA	NA	0.641543983	0.440883333	0.21	1.00	0	1	4.61
chr1	65613232	65697828	ENSG00000162433	AK4	NA	NA	0.473625548	0.663316667	0.79	0.13	0	1	1.23
chr1	65713902	65881552	ENSG00000116675	DNAJC6	30	0	0.588428012	0.499266667	0.22	1.00	1	1	1.60
chr1	65886248	66107242	ENSG00000116678	LEPR	30	NA	0.473465027	0.68955	0.87	0.44	1	1	0.71
chr1	65886270	65901690	ENSG00000213625	LEPROT	30	NA	0.580435805	0.689566667	0.87	0.44	1	1	0.71
chr1	66258197	66840259	ENSG00000184588	PDE4B	NA	NA	0.433839718	0.835616667	0.40	0.47	0	1	2.77
chr1	66999066	67213982	ENSG00000118473	SGIP1	NA	NA	0.542510677	0.6244	0.20	1.00	0	1	1.06
chr1	67218142	67244470	ENSG00000152760	TCTEX1D1	NA	NA	NA	0.3242	1.57	0.00	0	0	0.40
chr1	67263424	67266939	ENSG00000172410	INSL5	NA	NA	NA	0.027766667	1.78	0.14	0	1	-0.05
chr1	67278568	67390570	ENSG00000152763	WDR78	NA	NA	0.407674365	0.723283333	0.93	0.00	0	1	-0.06
chr1	67390578	67454302	ENSG00000198160	MIER1	NA	NA	0.548484717	0.78055	0.42	0.29	0	1	1.54
chr1	67465015	67519782	ENSG00000116704	SLC35D1	30	0	0.540905399	0.4519	0.78	0.00	1	1	0.03
chr1	67557848	67697536	ENSG00000203963	C1orf141	NA	NA	NA	0.26285	1.20	0.00	0	0	0.05
chr1	67632083	67725662	ENSG00000162594	IL23R	NA	NA	NA	0.211933333	0.61	0.00	1	1	1.08
chr1	67773047	67862583	ENSG00000081985	IL12RB2	NA	NA	NA	0.161383333	0.71	0.00	0	1	0.22
chr1	67873493	67896098	ENSG00000142864	SERBP1	NA	NA	0.724389624	0.929416667	0.18	1.00	0	1	1.67
chr1	68150744	68154021	ENSG00000116717	GADD45A	NA	NA	0.539879407	0.74785	1.13	0.04	0	1	1.41
chr1	68167149	68299150	ENSG00000172380	GNG12	NA	NA	0.650789496	0.710216667	1.05	0.59	0	1	0.67
chr1	68297986	68668670	ENSG00000232284	GNG12-AS1	NA	NA	NA	NA	NA	NA	0	1	NA
chr1	68511645	68517314	ENSG00000162595	DIRAS3	0	0	0.468006938	0.2696	NA	NA	0	1	1.00
chr1	68564142	68698803	ENSG00000116729	WLS	NA	NA	0.49263712	0.802183333	0.55	0.02	0	1	0.60
